tufts:ct.assistants.1817
tufts:ct.assistants.1818
tufts:ct.assistants.1805
tufts:ar.assembly.pulaski.1825
tufts:ct.assistants.1815
tufts:ct.lgovernor.1795
tufts:ar.council.independence.1825
tufts:al.circuitcourtclerk.limestonecounty.1819
tufts:ct.lgovernor.1796
tufts:ct.congress.1798
tufts:ct.assistants.1803
tufts:ct.assistants.1801
tufts:ct.assistants.1802
tufts:al.inferiorcourtclerk.madisoncounty.1819
tufts:ct.assistants.1800
tufts:ct.governor.1816
tufts:al.inferiorcourtclerk.limestonecounty.1819
tufts:al.staterepresentative.cotacocounty.1819
tufts:al.staterepresentative.franklincounty.1820
tufts:ct.congress.1802
tufts:ct.moderator.litchfield.1806
tufts:al.sheriff.madisoncounty.1819
tufts:ct.governor.1809
tufts:ct.assembly.1802
tufts:al.staterepresentative.morgancounty.1820
tufts:al.staterepresentative.monroecounty.1820
tufts:ct.assistants.1793
tufts:al.staterepresentative.jackson_decaturcounties.1825
tufts:ct.governor.1810
tufts:al.ussenator.1.1822
tufts:ct.governor.1795
tufts:al.sheriff.baldwincounty.1825
tufts:ar.assembly.crawford.1825
tufts:al.staterepresentative.jacksoncounty.1821
tufts:al.ussenator.1819
tufts:al.ussenator.1824
tufts:ct.constitutionalconvention1.newhaven.1818
tufts:al.territorialrepresentative.mobilecounty.1819
tufts:ct.lgovernor.1790
tufts:ct.lgovernor.1793
tufts:al.governor.1819
tufts:al.ussenator2.1819
tufts:ar.council.pulaski.special.1825
tufts:ar.territorydelegate.1819
tufts:al.statesenator.mobilecounty.1819
tufts:al.1.U.S.congress.1823
tufts:ar.council.crawford.1825
tufts:al.2.U.S.congress.1825
tufts:al.1.U.S.congress.1825
tufts:ar.council.hempstead.1825
tufts:ct.constitutionalconvention2.newhaven.1818
tufts:al.statesenator.madisoncounty.1819
tufts:ar.council.arkansas.1819
tufts:ar.council.clark.1825
tufts:ct.congress.1810
tufts:al.staterepresentative.henrycounty.1825
tufts:ct.lgovernor.1791
tufts:ar.assembly.phillips.1821
tufts:al.statesenator.madisoncounty.1821
tufts:ar.assembly.clark.1825
tufts:al.3.U.S.congress.1825
tufts:al.3.U.S.congress.1823
tufts:al.staterepresentative.baldwincounty.1820
tufts:al.staterepresentative.baldwincounty.1825
tufts:ar.assembly.arkansasandchicot.1825
tufts:al.governor.1821
tufts:al.governor.1825
tufts:al.governor.1823
tufts:ct.lgovernor.1818
tufts:ct.lgovernor.1807
tufts:ct.nomination.assistants.1805
tufts:ct.congress.1800
